model,language,n_top,category_a,category_b,intersection,union,jaccard
llama-3.2-1B,en,5,Age,Gender,0,10,0.0
llama-3.2-1B,en,5,Age,PhysicalAppearance,0,10,0.0
llama-3.2-1B,en,5,Age,RaceEthnicity,0,10,0.0
llama-3.2-1B,en,5,Age,Religion,0,10,0.0
llama-3.2-1B,en,5,Gender,PhysicalAppearance,0,10,0.0
llama-3.2-1B,en,5,Gender,RaceEthnicity,0,10,0.0
llama-3.2-1B,en,5,Gender,Religion,0,10,0.0
llama-3.2-1B,en,5,PhysicalAppearance,RaceEthnicity,0,10,0.0
llama-3.2-1B,en,5,PhysicalAppearance,Religion,2,8,0.25
llama-3.2-1B,en,5,RaceEthnicity,Religion,0,10,0.0
llama-3.2-1B,en,20,Age,Gender,0,40,0.0
llama-3.2-1B,en,20,Age,PhysicalAppearance,7,33,0.2121
llama-3.2-1B,en,20,Age,RaceEthnicity,7,33,0.2121
llama-3.2-1B,en,20,Age,Religion,5,35,0.1429
llama-3.2-1B,en,20,Gender,PhysicalAppearance,4,36,0.1111
llama-3.2-1B,en,20,Gender,RaceEthnicity,0,40,0.0
llama-3.2-1B,en,20,Gender,Religion,2,38,0.0526
llama-3.2-1B,en,20,PhysicalAppearance,RaceEthnicity,4,36,0.1111
llama-3.2-1B,en,20,PhysicalAppearance,Religion,8,32,0.25
llama-3.2-1B,en,20,RaceEthnicity,Religion,5,35,0.1429
llama-3.2-1B,en,40,Age,Gender,1,79,0.0127
llama-3.2-1B,en,40,Age,PhysicalAppearance,13,67,0.194
llama-3.2-1B,en,40,Age,RaceEthnicity,16,64,0.25
llama-3.2-1B,en,40,Age,Religion,11,69,0.1594
llama-3.2-1B,en,40,Gender,PhysicalAppearance,9,71,0.1268
llama-3.2-1B,en,40,Gender,RaceEthnicity,5,75,0.0667
llama-3.2-1B,en,40,Gender,Religion,6,74,0.0811
llama-3.2-1B,en,40,PhysicalAppearance,RaceEthnicity,12,68,0.1765
llama-3.2-1B,en,40,PhysicalAppearance,Religion,19,61,0.3115
llama-3.2-1B,en,40,RaceEthnicity,Religion,16,64,0.25
llama-3.2-1B,es,5,Age,Gender,0,10,0.0
llama-3.2-1B,es,5,Age,PhysicalAppearance,2,8,0.25
llama-3.2-1B,es,5,Age,RaceEthnicity,0,10,0.0
llama-3.2-1B,es,5,Age,Religion,1,9,0.1111
llama-3.2-1B,es,5,Gender,PhysicalAppearance,0,10,0.0
llama-3.2-1B,es,5,Gender,RaceEthnicity,0,10,0.0
llama-3.2-1B,es,5,Gender,Religion,0,10,0.0
llama-3.2-1B,es,5,PhysicalAppearance,RaceEthnicity,0,10,0.0
llama-3.2-1B,es,5,PhysicalAppearance,Religion,1,9,0.1111
llama-3.2-1B,es,5,RaceEthnicity,Religion,1,9,0.1111
llama-3.2-1B,es,20,Age,Gender,0,40,0.0
llama-3.2-1B,es,20,Age,PhysicalAppearance,5,35,0.1429
llama-3.2-1B,es,20,Age,RaceEthnicity,4,36,0.1111
llama-3.2-1B,es,20,Age,Religion,9,31,0.2903
llama-3.2-1B,es,20,Gender,PhysicalAppearance,0,40,0.0
llama-3.2-1B,es,20,Gender,RaceEthnicity,2,38,0.0526
llama-3.2-1B,es,20,Gender,Religion,1,39,0.0256
llama-3.2-1B,es,20,PhysicalAppearance,RaceEthnicity,3,37,0.0811
llama-3.2-1B,es,20,PhysicalAppearance,Religion,6,34,0.1765
llama-3.2-1B,es,20,RaceEthnicity,Religion,7,33,0.2121
llama-3.2-1B,es,40,Age,Gender,4,76,0.0526
llama-3.2-1B,es,40,Age,PhysicalAppearance,11,69,0.1594
llama-3.2-1B,es,40,Age,RaceEthnicity,11,69,0.1594
llama-3.2-1B,es,40,Age,Religion,14,66,0.2121
llama-3.2-1B,es,40,Gender,PhysicalAppearance,3,77,0.039
llama-3.2-1B,es,40,Gender,RaceEthnicity,6,74,0.0811
llama-3.2-1B,es,40,Gender,Religion,5,75,0.0667
llama-3.2-1B,es,40,PhysicalAppearance,RaceEthnicity,10,70,0.1429
llama-3.2-1B,es,40,PhysicalAppearance,Religion,11,69,0.1594
llama-3.2-1B,es,40,RaceEthnicity,Religion,18,62,0.2903
llama-3.2-3B,en,5,Age,Gender,0,10,0.0
llama-3.2-3B,en,5,Age,PhysicalAppearance,2,8,0.25
llama-3.2-3B,en,5,Age,RaceEthnicity,1,9,0.1111
llama-3.2-3B,en,5,Age,Religion,2,8,0.25
llama-3.2-3B,en,5,Gender,PhysicalAppearance,0,10,0.0
llama-3.2-3B,en,5,Gender,RaceEthnicity,0,10,0.0
llama-3.2-3B,en,5,Gender,Religion,0,10,0.0
llama-3.2-3B,en,5,PhysicalAppearance,RaceEthnicity,0,10,0.0
llama-3.2-3B,en,5,PhysicalAppearance,Religion,2,8,0.25
llama-3.2-3B,en,5,RaceEthnicity,Religion,0,10,0.0
llama-3.2-3B,en,20,Age,Gender,2,38,0.0526
llama-3.2-3B,en,20,Age,PhysicalAppearance,9,31,0.2903
llama-3.2-3B,en,20,Age,RaceEthnicity,11,29,0.3793
llama-3.2-3B,en,20,Age,Religion,6,34,0.1765
llama-3.2-3B,en,20,Gender,PhysicalAppearance,3,37,0.0811
llama-3.2-3B,en,20,Gender,RaceEthnicity,1,39,0.0256
llama-3.2-3B,en,20,Gender,Religion,2,38,0.0526
llama-3.2-3B,en,20,PhysicalAppearance,RaceEthnicity,8,32,0.25
llama-3.2-3B,en,20,PhysicalAppearance,Religion,7,33,0.2121
llama-3.2-3B,en,20,RaceEthnicity,Religion,5,35,0.1429
llama-3.2-3B,en,40,Age,Gender,6,74,0.0811
llama-3.2-3B,en,40,Age,PhysicalAppearance,13,67,0.194
llama-3.2-3B,en,40,Age,RaceEthnicity,23,57,0.4035
llama-3.2-3B,en,40,Age,Religion,13,67,0.194
llama-3.2-3B,en,40,Gender,PhysicalAppearance,7,73,0.0959
llama-3.2-3B,en,40,Gender,RaceEthnicity,7,73,0.0959
llama-3.2-3B,en,40,Gender,Religion,6,74,0.0811
llama-3.2-3B,en,40,PhysicalAppearance,RaceEthnicity,14,66,0.2121
llama-3.2-3B,en,40,PhysicalAppearance,Religion,12,68,0.1765
llama-3.2-3B,en,40,RaceEthnicity,Religion,13,67,0.194
llama-3.2-3B,es,5,Age,Gender,0,10,0.0
llama-3.2-3B,es,5,Age,PhysicalAppearance,3,7,0.4286
llama-3.2-3B,es,5,Age,RaceEthnicity,0,10,0.0
llama-3.2-3B,es,5,Age,Religion,0,10,0.0
llama-3.2-3B,es,5,Gender,PhysicalAppearance,0,10,0.0
llama-3.2-3B,es,5,Gender,RaceEthnicity,0,10,0.0
llama-3.2-3B,es,5,Gender,Religion,0,10,0.0
llama-3.2-3B,es,5,PhysicalAppearance,RaceEthnicity,1,9,0.1111
llama-3.2-3B,es,5,PhysicalAppearance,Religion,0,10,0.0
llama-3.2-3B,es,5,RaceEthnicity,Religion,1,9,0.1111
llama-3.2-3B,es,20,Age,Gender,2,38,0.0526
llama-3.2-3B,es,20,Age,PhysicalAppearance,10,30,0.3333
llama-3.2-3B,es,20,Age,RaceEthnicity,8,32,0.25
llama-3.2-3B,es,20,Age,Religion,9,31,0.2903
llama-3.2-3B,es,20,Gender,PhysicalAppearance,2,38,0.0526
llama-3.2-3B,es,20,Gender,RaceEthnicity,1,39,0.0256
llama-3.2-3B,es,20,Gender,Religion,2,38,0.0526
llama-3.2-3B,es,20,PhysicalAppearance,RaceEthnicity,8,32,0.25
llama-3.2-3B,es,20,PhysicalAppearance,Religion,10,30,0.3333
llama-3.2-3B,es,20,RaceEthnicity,Religion,8,32,0.25
llama-3.2-3B,es,40,Age,Gender,6,74,0.0811
llama-3.2-3B,es,40,Age,PhysicalAppearance,12,68,0.1765
llama-3.2-3B,es,40,Age,RaceEthnicity,12,68,0.1765
llama-3.2-3B,es,40,Age,Religion,12,68,0.1765
llama-3.2-3B,es,40,Gender,PhysicalAppearance,6,74,0.0811
llama-3.2-3B,es,40,Gender,RaceEthnicity,6,74,0.0811
llama-3.2-3B,es,40,Gender,Religion,8,72,0.1111
llama-3.2-3B,es,40,PhysicalAppearance,RaceEthnicity,14,66,0.2121
llama-3.2-3B,es,40,PhysicalAppearance,Religion,14,66,0.2121
llama-3.2-3B,es,40,RaceEthnicity,Religion,14,66,0.2121
salamandra-2B,en,5,Age,Gender,1,9,0.1111
salamandra-2B,en,5,Age,PhysicalAppearance,1,9,0.1111
salamandra-2B,en,5,Age,RaceEthnicity,1,9,0.1111
salamandra-2B,en,5,Age,Religion,0,10,0.0
salamandra-2B,en,5,Gender,PhysicalAppearance,0,10,0.0
salamandra-2B,en,5,Gender,RaceEthnicity,1,9,0.1111
salamandra-2B,en,5,Gender,Religion,0,10,0.0
salamandra-2B,en,5,PhysicalAppearance,RaceEthnicity,0,10,0.0
salamandra-2B,en,5,PhysicalAppearance,Religion,0,10,0.0
salamandra-2B,en,5,RaceEthnicity,Religion,2,8,0.25
salamandra-2B,en,20,Age,Gender,5,35,0.1429
salamandra-2B,en,20,Age,PhysicalAppearance,7,33,0.2121
salamandra-2B,en,20,Age,RaceEthnicity,5,35,0.1429
salamandra-2B,en,20,Age,Religion,4,36,0.1111
salamandra-2B,en,20,Gender,PhysicalAppearance,5,35,0.1429
salamandra-2B,en,20,Gender,RaceEthnicity,4,36,0.1111
salamandra-2B,en,20,Gender,Religion,3,37,0.0811
salamandra-2B,en,20,PhysicalAppearance,RaceEthnicity,4,36,0.1111
salamandra-2B,en,20,PhysicalAppearance,Religion,4,36,0.1111
salamandra-2B,en,20,RaceEthnicity,Religion,5,35,0.1429
salamandra-2B,en,40,Age,Gender,14,66,0.2121
salamandra-2B,en,40,Age,PhysicalAppearance,16,64,0.25
salamandra-2B,en,40,Age,RaceEthnicity,17,63,0.2698
salamandra-2B,en,40,Age,Religion,12,68,0.1765
salamandra-2B,en,40,Gender,PhysicalAppearance,16,64,0.25
salamandra-2B,en,40,Gender,RaceEthnicity,10,70,0.1429
salamandra-2B,en,40,Gender,Religion,13,67,0.194
salamandra-2B,en,40,PhysicalAppearance,RaceEthnicity,14,66,0.2121
salamandra-2B,en,40,PhysicalAppearance,Religion,15,65,0.2308
salamandra-2B,en,40,RaceEthnicity,Religion,12,68,0.1765
salamandra-2B,es,5,Age,Gender,0,10,0.0
salamandra-2B,es,5,Age,PhysicalAppearance,2,8,0.25
salamandra-2B,es,5,Age,RaceEthnicity,1,9,0.1111
salamandra-2B,es,5,Age,Religion,0,10,0.0
salamandra-2B,es,5,Gender,PhysicalAppearance,0,10,0.0
salamandra-2B,es,5,Gender,RaceEthnicity,0,10,0.0
salamandra-2B,es,5,Gender,Religion,0,10,0.0
salamandra-2B,es,5,PhysicalAppearance,RaceEthnicity,1,9,0.1111
salamandra-2B,es,5,PhysicalAppearance,Religion,1,9,0.1111
salamandra-2B,es,5,RaceEthnicity,Religion,0,10,0.0
salamandra-2B,es,20,Age,Gender,6,34,0.1765
salamandra-2B,es,20,Age,PhysicalAppearance,9,31,0.2903
salamandra-2B,es,20,Age,RaceEthnicity,4,36,0.1111
salamandra-2B,es,20,Age,Religion,5,35,0.1429
salamandra-2B,es,20,Gender,PhysicalAppearance,3,37,0.0811
salamandra-2B,es,20,Gender,RaceEthnicity,3,37,0.0811
salamandra-2B,es,20,Gender,Religion,2,38,0.0526
salamandra-2B,es,20,PhysicalAppearance,RaceEthnicity,4,36,0.1111
salamandra-2B,es,20,PhysicalAppearance,Religion,6,34,0.1765
salamandra-2B,es,20,RaceEthnicity,Religion,4,36,0.1111
salamandra-2B,es,40,Age,Gender,10,70,0.1429
salamandra-2B,es,40,Age,PhysicalAppearance,18,62,0.2903
