model,benchmark,category,amb_bias,disamb_bias
Llama-3.2-1B,BBQ,stderr,,
Llama-3.2-1B,BBQ,Age,0.07499999999999996,0.06847826086956532
Llama-3.2-1B,BBQ,Age_stderr,,
Llama-3.2-1B,BBQ,Disability_status,-0.005141388174807225,0.03084832904884327
Llama-3.2-1B,BBQ,Disability_status_stderr,,
Llama-3.2-1B,BBQ,Gender_identity,0.015514809590973178,0.019746121297602226
Llama-3.2-1B,BBQ,Gender_identity_stderr,,
Llama-3.2-1B,BBQ,Nationality,0.014285714285714344,-0.018379850238257278
Llama-3.2-1B,BBQ,Nationality_stderr,,
Llama-3.2-1B,BBQ,Physical_appearance,0.10152284263959385,0.14842578710644672
Llama-3.2-1B,BBQ,Physical_appearance_stderr,,
Llama-3.2-1B,BBQ,Race_ethnicity,-0.016569767441860464,0.013682678311499163
Llama-3.2-1B,BBQ,Race_ethnicity_stderr,,
Llama-3.2-1B,BBQ,Race_x_gender,0.00889724310776946,0.0017543859649122862
Llama-3.2-1B,BBQ,Race_x_gender_stderr,,
Llama-3.2-1B,BBQ,Race_x_SES,0.006093189964157709,-0.01520912547528519
Llama-3.2-1B,BBQ,Race_x_SES_stderr,,
Llama-3.2-1B,BBQ,Religion,0.053333333333333344,0.03741496598639449
Llama-3.2-1B,BBQ,Religion_stderr,,
Llama-3.2-1B,BBQ,SES,0.037004662004662014,0.0452026829979586
Llama-3.2-1B,BBQ,SES_stderr,,
Llama-3.2-1B,BBQ,Sexual_orientation,0.02546296296296305,-0.007058823529411784
Llama-3.2-1B,BBQ,Sexual_orientation_stderr,,
Llama-3.2-1B,EsBBQ,Age,0.010061919504643963,0.025936599423631135
Llama-3.2-1B,EsBBQ,Disabilitystatus,0.02478448275862069,0.06302521008403361
Llama-3.2-1B,EsBBQ,Gender,0.008643617021276596,0.02043269230769229
Llama-3.2-1B,EsBBQ,Lgbtqia,0.05381944444444445,0.0252808988764045
Llama-3.2-1B,EsBBQ,Nationality,-0.005952380952380952,0.017857142857142794
